squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti,indice_sorpresa,categoria_sorpresa,giornata1_squadra_casa,giornata1_squadra_ospite,giornata1_data_ora,titolare_previsto_giornata1,ballottaggio_pct_giornata1,indisponibile_giornata1,motivo_indisponibilita_giornata1,voto_consigliato_giornata1,commento_voto_giornata1,rigorista_giornata1,tira_punizioni_giornata1,tira_angoli_giornata1,indice_rischio_giornata1,categoria_rischio_giornata1
BOL,Rowe,c,11.0,28,6.39,6.01,3.7,2.4,10.0,26.3,19.0,8.0,7.0,8.0,38.0,3.4,SORPRESA AL RIALZO (esperti piu' fiduciosi del modello),BOL,LAZ,2026-08-24T16:30:00Z,True,65,False,,4,"Approfondimento tra i ""Consigliati"" .",False,False,False,-1.13,coerente (modello e scheda partita d'accordo)
BOL,Skorupski,p,10.0,18,5.08,6.15,0.1,0.3,-34.6,26.0,25.4,8.0,6.0,7.0,35.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,3,"Il nostro portierone è apparso decisamente in forma durante il precampionato, tuttavia un gol è da mettere in conto, dati i dubbi che coinvolgono la nostra difesa. Potrebbe tornare buono per il modificatore.",False,False,False,,
BOL,Bernardeschi,c,9.0,24,6.26,5.96,2.2,2.2,8.1,21.0,10.8,7.0,7.0,7.0,36.0,2.34,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,True,70,False,,3,"Berna è schierabile, nella posizione ibrida tra centrocampo e attacco potrebbe sfruttare le eventuali falle di una difesa della Lazio ancora da registrare. Suo anche qualche calcio piazzato.",True,True,True,2.34,coerente (modello e scheda partita d'accordo)
BOL,Lucumì,d,8.0,28,5.87,5.89,0.7,0.4,0.4,26.0,22.7,1.0,8.0,4.0,19.0,-7.84,RISCHIO AL RIBASSO (esperti meno fiduciosi del modello),,,,,,,,,,,,,,
BOL,Miranda J.,d,8.0,31,5.96,5.97,1.3,2.5,2.3,25.4,19.2,8.0,7.0,7.0,36.0,3.22,SORPRESA AL RIALZO (esperti piu' fiduciosi del modello),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,3,"Buone impressioni dal precampionato, schierabile in quanto potrebbe portare una sufficienza abbondante e, perché no, anche un asssist!",False,False,False,,
BOL,Odgaard,c,8.0,22,6.38,5.98,3.7,0.7,9.2,22.3,15.4,,,,,,,BOL,LAZ,2026-08-24T16:30:00Z,False,30,False,,2,"Indietro nel ballottaggio con Bernardeschi, da schierare solo con copertura, ma crediamo che per questa giornata abbiate di meglio in rosa.",False,False,False,-2.34,coerente (modello e scheda partita d'accordo)
BOL,Cambiaghi,c,8.0,24,6.3,5.99,2.1,2.0,6.2,20.6,15.1,,,,,,,BOL,LAZ,2026-08-24T16:30:00Z,False,35,False,,3,"Approfondimento tra le ""Possibili Sorprese"" .",False,False,False,-1.1,coerente (modello e scheda partita d'accordo)
BOL,Dallinga,a,8.0,19,6.34,5.92,3.1,0.7,7.3,19.0,12.8,5.0,5.0,5.0,26.0,0.0,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
BOL,Ferguson,c,7.0,23,6.11,5.94,1.6,1.1,4.2,21.8,15.9,6.0,5.0,6.0,30.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,False,35,False,,3,"Sembra carico, da capire se giocherà mediano oppure avrà licenza di inserirsi. Come M al Mantra, in assenza di profili più offensivi, si può schierare senza grossi patemi.",False,False,False,-1.1,coerente (modello e scheda partita d'accordo)
BOL,Heggem,d,6.0,25,5.8,5.88,1.2,0.5,0.5,23.4,22.2,7.0,7.0,7.0,31.0,-2.06,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,2,"Approfondimento tra gli ""Sconsigliati"" .",False,False,False,,
BOL,Zortea,d,6.0,28,6.04,5.92,1.0,1.4,4.4,22.5,16.9,5.0,7.0,4.0,28.0,-0.7,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,3,"Come il compagno, forse un pò meno perché dalla sua parte graviterà Zaccagni.",False,False,False,,
BOL,Pobega,c,6.0,23,6.07,5.92,1.6,0.8,3.3,21.1,14.3,6.0,7.0,6.0,31.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,False,20,False,,3,Il buon Tommaso potrebbe entrare nella ripresa al posto di una mezzala.,False,False,False,-7.67,RISCHIO GIORNATA 1 (ballottaggio/indisponibilita' non previsti dal modello)
BOL,Vitik,d,5.0,18,5.72,5.83,0.4,0.5,0.2,17.9,8.3,7.0,6.0,6.0,30.0,2.34,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,False,45,True,,2,"Approfondimento tra gli ""Sconsigliati"" .",False,False,False,-4.02,RISCHIO GIORNATA 1 (ballottaggio/indisponibilita' non previsti dal modello)
BOL,Holm,d,5.0,16,6.0,5.94,1.0,1.4,1.8,14.5,8.9,7.0,4.0,6.0,30.0,2.34,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,2,"Un po' sparito dai radar ultimamente a causa di qualche suo solito problema fisico, potrebbe giocare una manciata di minuti nella ripresa, ma il voto è tutt'altro che certo.",False,False,False,,
BOL,Moro N.,c,4.0,28,5.98,5.89,1.1,1.3,2.8,20.0,14.8,6.0,6.0,5.0,27.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,False,20,False,,3,"In ballottaggio, dovrebbe comunque andare a voto e portare un minimo di geometrie nel centrocampo rossoblu.",False,False,False,-7.67,RISCHIO GIORNATA 1 (ballottaggio/indisponibilita' non previsti dal modello)
BOL,Casale,d,3.0,10,5.66,5.74,0.3,0.3,-0.1,11.9,9.8,4.0,5.0,4.0,22.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,2,"Da evitare, in odore di cessione.",False,False,False,,
BOL,Dominguez B.,c,3.0,12,6.15,5.91,1.8,1.1,5.6,14.5,10.7,5.0,6.0,5.0,25.0,0.0,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
BOL,Helland,d,2.0,6,5.71,5.79,0.3,0.5,0.3,11.7,9.7,6.0,7.0,7.0,30.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,True,55,False,,2,"Approfondimento tra gli ""Sconsigliati"" .",False,False,False,0.0,coerente (modello e scheda partita d'accordo)
