squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
INT,Zielinski,c,10.0,30,6.35,6.09,2.2,3.2,7.7,25.9,21.7,8.0,7.0,8.0,39.0
INT,Diouf,c,8.0,10,6.19,5.96,1.2,1.7,4.3,18.1,13.0,7.0,8.0,7.0,35.0
INT,Sucic P.,c,8.0,28,6.17,6.02,1.6,2.4,4.3,23.7,15.8,7.0,8.0,7.0,36.0
INT,Carlos Augusto,d,7.0,28,6.08,6.01,1.4,1.0,2.7,24.2,16.9,6.0,8.0,7.0,35.0
INT,Frattesi,c,7.0,14,6.36,5.97,2.6,1.0,10.3,16.2,8.9,5.0,7.0,5.0,31.0
INT,Bonny,a,7.0,27,6.45,5.99,2.9,2.7,13.8,21.2,14.3,6.0,8.0,6.0,36.0
INT,Pavard,d,6.0,1,6.06,5.96,0.3,0.5,0.0,15.6,8.8,5.0,7.0,5.0,30.0
INT,Mkhitaryan,c,5.0,28,6.28,6.03,2.7,2.5,9.8,15.0,6.4,6.0,8.0,6.0,34.0
INT,Luis Henrique,c,4.0,27,6.04,5.94,1.4,1.5,2.8,21.0,15.7,,,,
INT,Provedel,p,2.0,27,5.45,6.21,0.1,0.3,-17.0,15.0,13.4,,,,
INT,Di Gennaro,p,1.0,1,4.71,5.82,0.6,0.4,-3.0,5.1,0.6,,,,
JUV,Yildiz,a,23.0,35,6.79,6.18,5.9,6.9,22.1,30.7,26.7,9.0,8.0,9.0,43.0
JUV,McKennie,c,17.0,34,6.47,6.1,4.3,3.3,13.2,28.5,25.3,7.0,8.0,7.0,37.0
JUV,Bremer,d,15.0,26,6.24,6.04,1.8,0.8,4.0,25.6,21.9,9.0,7.0,9.0,41.0
JUV,Kalulu,d,13.0,37,6.04,6.04,1.1,2.0,3.2,30.0,27.8,8.0,8.0,8.0,38.0
JUV,Conceicao,c,12.0,30,6.67,6.09,5.5,3.6,16.2,28.0,22.5,,,,
JUV,Thuram K.,c,10.0,34,6.3,5.98,2.8,2.4,8.8,26.1,19.7,9.0,8.0,7.0,38.0
JUV,Di Gregorio,p,9.0,30,5.02,6.16,0.2,0.3,-31.6,29.1,27.5,7.0,9.0,8.0,39.0
JUV,Cambiaso,d,9.0,36,6.19,5.96,1.2,2.5,3.4,27.3,24.5,9.0,8.0,7.0,37.0
JUV,David,a,9.0,30,6.61,5.96,6.4,2.0,14.1,22.6,12.4,6.0,9.0,6.0,33.0
JUV,Celik,d,8.0,32,6.01,5.99,0.8,1.4,1.4,23.5,20.1,8.0,8.0,7.0,36.0
JUV,Locatelli,c,8.0,36,6.08,6.09,1.7,1.6,2.3,29.1,28.2,9.0,9.0,7.0,39.0
JUV,Perin,p,6.0,9,5.1,6.13,0.1,0.3,-19.1,19.7,17.9,5.0,8.0,5.0,33.0
JUV,Zhegrova,c,6.0,12,6.32,5.97,1.6,0.8,3.1,17.2,6.6,,,,
JUV,Boga,a,6.0,13,6.39,5.96,3.1,1.2,9.2,16.0,8.4,6.0,7.0,6.0,33.0
JUV,Kelly L.,d,5.0,35,5.88,5.89,1.2,0.6,1.7,23.6,20.7,7.0,7.0,7.0,33.0
JUV,Koopmeiners,c,5.0,29,6.07,5.95,2.2,1.3,7.0,16.1,8.6,5.0,7.0,5.0,28.0
JUV,Gatti,d,4.0,16,5.97,5.91,1.1,0.6,1.6,18.4,12.7,5.0,7.0,5.0,29.0
JUV,Miretti,c,3.0,15,6.13,5.93,1.3,0.9,3.3,13.9,10.3,6.0,7.0,6.0,33.0
JUV,Ekhator,a,3.0,25,6.15,5.89,1.6,1.0,3.7,14.8,5.7,6.0,7.0,6.0,32.0
JUV,Rugani,d,1.0,8,5.71,5.73,0.4,0.4,0.2,6.8,6.4,4.0,7.0,4.0,26.0
JUV,Cabal,d,1.0,9,5.92,5.82,1.0,0.6,1.6,12.7,8.7,4.0,5.0,4.0,24.0
LAZ,Zaccagni,c,16.0,26,6.43,6.05,3.2,3.1,11.2,24.3,20.0,,,,
LAZ,Taylor K.,c,13.0,17,6.25,5.94,2.2,1.2,6.0,22.6,18.8,9.0,8.0,8.0,39.0
