squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
ATA,Kossounou,d,3.0,16,5.84,5.77,0.5,0.5,0.5,13.4,11.2,,,,
ATA,Sulemana I.,c,3.0,18,5.91,5.82,1.0,0.5,1.6,12.7,7.6,6.0,8.0,6.0,33.0
ATA,Sportiello,p,1.0,1,4.35,6.04,0.1,0.3,-8.8,7.4,4.8,3.0,8.0,4.0,28.0
BOL,Orsolini,c,26.0,34,6.93,6.1,8.0,2.5,27.3,27.5,19.9,,,,
BOL,Dovbyk,a,16.0,13,6.49,5.96,2.0,1.6,11.3,20.6,11.9,7.0,6.0,7.0,34.0
BOL,Rowe,c,11.0,28,6.39,6.01,3.7,2.4,10.0,26.3,19.0,8.0,7.0,8.0,38.0
BOL,Skorupski,p,10.0,18,5.08,6.15,0.1,0.3,-34.6,26.0,25.4,8.0,6.0,7.0,35.0
BOL,Bernardeschi,c,9.0,24,6.26,5.96,2.2,2.2,8.1,21.0,10.8,7.0,7.0,7.0,36.0
BOL,Lucumì,d,8.0,28,5.87,5.89,0.7,0.4,0.4,26.0,22.7,1.0,8.0,4.0,19.0
BOL,Miranda J.,d,8.0,31,5.96,5.97,1.3,2.5,2.3,25.4,19.2,8.0,7.0,7.0,36.0
BOL,Odgaard,c,8.0,22,6.38,5.98,3.7,0.7,9.2,22.3,15.4,,,,
BOL,Cambiaghi,c,8.0,24,6.3,5.99,2.1,2.0,6.2,20.6,15.1,,,,
BOL,Dallinga,a,8.0,19,6.34,5.92,3.1,0.7,7.3,19.0,12.8,5.0,5.0,5.0,26.0
BOL,Ferguson,c,7.0,23,6.11,5.94,1.6,1.1,4.2,21.8,15.9,6.0,5.0,6.0,30.0
BOL,Heggem,d,6.0,25,5.8,5.88,1.2,0.5,0.5,23.4,22.2,7.0,7.0,7.0,31.0
BOL,Zortea,d,6.0,28,6.04,5.92,1.0,1.4,4.4,22.5,16.9,5.0,7.0,4.0,28.0
BOL,Pobega,c,6.0,23,6.07,5.92,1.6,0.8,3.3,21.1,14.3,6.0,7.0,6.0,31.0
BOL,Vitik,d,5.0,18,5.72,5.83,0.4,0.5,0.2,17.9,8.3,7.0,6.0,6.0,30.0
BOL,Holm,d,5.0,16,6.0,5.94,1.0,1.4,1.8,14.5,8.9,7.0,4.0,6.0,30.0
BOL,Moro N.,c,4.0,28,5.98,5.89,1.1,1.3,2.8,20.0,14.8,6.0,6.0,5.0,27.0
BOL,Casale,d,3.0,10,5.66,5.74,0.3,0.3,-0.1,11.9,9.8,4.0,5.0,4.0,22.0
BOL,Dominguez B.,c,3.0,12,6.15,5.91,1.8,1.1,5.6,14.5,10.7,5.0,6.0,5.0,25.0
