stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,555,Acquah,TOR,c,m|cc,5.0,8.0,
2015-16,565,Martinez,TOR,a,a,12.0,8.0,
2015-16,642,Astori,FIO,d,dc,8.0,8.0,
2015-16,703,Mounier,BOL,c,w|a,9.0,8.0,
2015-16,15,Masiello,ATA,d,dd|dc,4.0,7.0,
2015-16,37,Marilungo,ATA,a,a,7.0,7.0,
2015-16,54,Rossettini,BOL,d,dc,6.0,7.0,
2015-16,64,Cacia,BOL,a,pc,8.0,7.0,
2015-16,73,Gagliolo,CAR,d,ds|dc|cs,5.0,7.0,
2015-16,83,Lollo,CAR,c,cc,3.0,7.0,
2015-16,125,Mpoku,CHI,a,a,17.0,7.0,
2015-16,144,Tonelli,EMP,d,dc,11.0,7.0,
2015-16,170,Badelj,FIO,c,m|cc,5.0,7.0,
2015-16,176,Fernandez M,FIO,c,cc|t,12.0,7.0,
2015-16,209,Sammarco,FRO,c,m|cc,2.0,7.0,
2015-16,215,Verde,FRO,a,a,11.0,7.0,
2015-16,222,Burdisso,GEN,d,dc,5.0,7.0,
2015-16,224,De Maio,GEN,d,dc,5.0,7.0,
2015-16,234,Kucka,MIL,c,m|cc,7.0,7.0,
2015-16,245,Pandev,GEN,a,a,18.0,7.0,
2015-16,253,D'ambrosio,INT,d,dd|ds|cd|cs,5.0,7.0,
2015-16,269,Hernanes,JUV,c,t,15.0,7.0,
2015-16,270,Kondogbia,INT,c,m|cc,12.0,7.0,
2015-16,272,Medel,INT,c,m|cc,6.0,7.0,
2015-16,275,Taider,BOL,c,cc|t,6.0,7.0,
2015-16,360,Paletta,ATA,d,dc,8.0,7.0,
2015-16,366,Bertolacci,MIL,c,cc|t,15.0,7.0,
2015-16,376,Verdi,CAR,c,w|t,3.0,7.0,
2015-16,433,Hiljemark,PAL,c,m|cc,4.0,7.0,
2015-16,437,Quaison,PAL,c,cc|t,10.0,7.0,
2015-16,463,De Rossi,ROM,c,m|cc,9.0,7.0,
2015-16,495,Correa,SAM,c,w|t,10.0,7.0,
2015-16,516,Cannavaro,SAS,d,dc,6.0,7.0,
2015-16,530,Pellegrini Lo.,SAS,c,m|cc,2.0,7.0,
2015-16,532,Falcinelli,SAS,a,pc,7.0,7.0,
2015-16,554,Zappacosta,TOR,d,dd|cd,10.0,7.0,
2015-16,563,Vives,TOR,c,m|cc,4.0,7.0,
2015-16,575,Adnan,UDI,d,ds|cs,6.0,7.0,
