stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,4,Carpi,0.3333333333333333,1.6666666666666667,3.0,1.484067337277035,2.0192875868330398,3,0.3333333333333333,1.6666666666666667,3.0,1.484067337277035,2.0192875868330398,3
2015-16,4,Juventus,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.9172469371308882,0.8247198617706696,3,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.9172469371308882,0.8247198617706696,3
2015-16,4,Empoli,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.1849589301273227,1.0537417644324403,3,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.1849589301273227,1.0537417644324403,3
2015-16,4,Frosinone,0.0,0.3333333333333333,2.0,0.6993780961881081,2.354493141795198,3,0.0,0.3333333333333333,2.0,0.6993780961881081,2.354493141795198,3
2015-16,4,Napoli,0.6666666666666666,1.6666666666666667,2.0,1.3086374558818836,1.6076652572179835,3,0.6666666666666666,1.6666666666666667,2.0,1.3086374558818836,1.6076652572179835,3
2015-16,4,Torino,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.199538152354459,1.1509347587513428,3,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.199538152354459,1.1509347587513428,3
2015-16,4,Inter,3.0,1.3333333333333333,0.3333333333333333,2.0752492857476077,0.6907496030131975,3,3.0,1.3333333333333333,0.3333333333333333,2.0752492857476077,0.6907496030131975,3
2015-16,4,Atalanta,1.3333333333333333,1.3333333333333333,1.0,1.6203239212433498,1.0448034992441535,3,1.3333333333333333,1.3333333333333333,1.0,1.6203239212433498,1.0448034992441535,3
2015-16,4,Lazio,2.0,1.3333333333333333,1.6666666666666667,1.2549626197045047,0.8760853906472524,3,2.0,1.3333333333333333,1.6666666666666667,1.2549626197045047,0.8760853906472524,3
2015-16,4,Palermo,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.250095307206114,1.4218098887552817,3,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.250095307206114,1.4218098887552817,3
2015-16,4,Udinese,1.0,0.3333333333333333,1.0,1.35173884468774,1.320051063162585,3,1.0,0.3333333333333333,1.0,1.35173884468774,1.320051063162585,3
